model,resolution,mean_time_ms,fps
depthanything,1920x1080,2625.6943608498086,0.38085163867905364
depthanything,1280x720,574.6902640206473,1.7400677592896758
depthanything,854x480,152.77323789012675,6.545649053528549
midasv2,1920x1080,250.6551199153978,3.9895454772179573
midasv2,1280x720,117.97503599828603,8.476369526299854
midasv2,854x480,54.18512982738261,18.455247836181194
